,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
73,1,11.0,22,0.008019500004593283,"[7, 3, 6, 21, 3, 4, 24, 12, 26, 16, 18, 15, 0, 4, 25, 34, 23, 7, 26, 25, 22, 9, 3, 39, 23, 36, 27, 37, 19, 38, 8, 32, 34, 10, 23, 15, 23, 25, 7, 28]",10,0.1,1024,1
74,2,8.0,34,0.013592000002972782,"[17, 24, 0, 2, 24, 20, 38, 37, 21, 13, 27, 38, 22, 22, 16, 19, 9, 36, 10, 4, 23, 14, 21, 3, 30, 16, 20, 7, 15, 28, 15, 25, 28, 21, 34, 8, 17, 32, 0, 12]",10,0.1,1024,1
75,4,6.0,57,0.02164630003971979,"[31, 24, 0, 24, 18, 4, 38, 28, 39, 13, 27, 15, 22, 22, 6, 34, 9, 36, 26, 5, 23, 2, 21, 13, 30, 16, 20, 7, 32, 28, 15, 37, 32, 34, 23, 8, 17, 25, 6, 13]",10,0.1,1024,1
76,8,3.0,103,0.03510690003167838,"[31, 24, 0, 24, 18, 4, 38, 37, 26, 13, 27, 38, 22, 22, 6, 19, 9, 36, 26, 5, 23, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
77,16,3.0,191,0.058447099989280105,"[31, 24, 0, 24, 18, 4, 38, 37, 26, 13, 27, 38, 22, 22, 6, 19, 9, 36, 26, 5, 23, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
78,32,2.0,368,0.10570880002342165,"[31, 24, 0, 24, 18, 4, 38, 37, 26, 13, 27, 38, 22, 22, 6, 19, 9, 36, 26, 5, 6, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
79,64,0.0,425,0.12218619999475777,"[31, 24, 0, 39, 18, 4, 38, 37, 26, 13, 27, 38, 19, 22, 6, 19, 9, 36, 26, 5, 6, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
80,128,0.0,425,0.12218619999475777,"[31, 24, 0, 39, 18, 4, 38, 37, 26, 13, 27, 38, 19, 22, 6, 19, 9, 36, 26, 5, 6, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
81,256,0.0,425,0.12218619999475777,"[31, 24, 0, 39, 18, 4, 38, 37, 26, 13, 27, 38, 19, 22, 6, 19, 9, 36, 26, 5, 6, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
82,512,0.0,425,0.12218619999475777,"[31, 24, 0, 39, 18, 4, 38, 37, 26, 13, 27, 38, 19, 22, 6, 19, 9, 36, 26, 5, 6, 2, 21, 3, 30, 16, 20, 7, 15, 23, 15, 37, 28, 10, 23, 8, 17, 25, 0, 12]",10,0.1,1024,1
